"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0031012","GO:0031012","extracellular matrix","1/48","21/25052",0.0394901148992808,0.31447592814464,0.297924563505448,"ATPSK2",1
"GO:0048046","GO:0048046","apoplast","2/48","298/25052",0.111464935103954,0.31447592814464,0.297924563505448,"PATL1/GGT1",2
"GO:0016607","GO:0016607","nuclear speck","1/48","63/25052",0.113943550926013,0.31447592814464,0.297924563505448,"ATOXS3",1
"GO:0015629","GO:0015629","actin cytoskeleton","1/48","70/25052",0.125790371257856,0.31447592814464,0.297924563505448,"ADF5",1
"GO:0016604","GO:0016604","nuclear body","1/48","102/25052",0.178001531837683,0.356003063675367,0.337266060324032,"ATOXS3",1
"GO:0009705","GO:0009705","plant-type vacuole membrane","1/48","129/25052",0.219669555214119,0.366115925356865,0.346846666127556,"DELTA-TIP2",1
"GO:0000325","GO:0000325","plant-type vacuole","1/48","177/25052",0.288698659850409,0.412426656929156,0.39071999077499,"DELTA-TIP2",1
"GO:0031225","GO:0031225","anchored component of membrane","1/48","314/25052",0.454473039015004,0.543728911444938,0.515111600316257,"NA",1
"GO:0005856","GO:0005856","cytoskeleton","1/48","348/25052",0.489356020300444,0.543728911444938,0.515111600316257,"ADF5",1
"GO:0005654","GO:0005654","nucleoplasm","1/48","473/25052",0.599806600370416,0.599806600370416,0.568237831929868,"ATOXS3",1
