"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0000785","GO:0000785","chromatin","15/32","226/25052",6.5859050073234e-23,2.17334865241672e-21,8.31903790398745e-22,"CENH3/G-H2AX/HMGA/HMG/HTA10/ORTH2/HIS1-3/HIS4/H1.2/HTA13/H2A.Z/HTA2/h2a.w.7/ATHTA1/h2a.w.6",15
"GO:0000790","GO:0000790","nuclear chromatin","10/32","150/25052",2.51826650272042e-15,2.77009315299246e-14,1.06032273798754e-14,"G-H2AX/HMGA/HTA10/ORTH2/HTA13/H2A.Z/HTA2/h2a.w.7/ATHTA1/h2a.w.6",10
"GO:0044815","GO:0044815","DNA packaging complex","4/32","25/25052",2.72079936660075e-08,1.49643965163041e-07,5.72799866652789e-08,"HMGA/HIS1-3/HIS4/H1.2",4
"GO:0032993","GO:0032993","protein-DNA complex","4/32","61/25052",1.08685128425688e-06,4.48326154755961e-06,1.71608097514244e-06,"HMGA/HIS1-3/HIS4/H1.2",4
"GO:0018995","GO:0018995","host cellular component","3/32","161/25052",0.00112685615757227,0.00218742665881676,0.000837292500982494,"HMGA/HIS1-3/H1.2",3
"GO:0033643","GO:0033643","host cell part","3/32","161/25052",0.00112685615757227,0.00218742665881676,0.000837292500982494,"HMGA/HIS1-3/H1.2",3
"GO:0033646","GO:0033646","host intracellular part","3/32","161/25052",0.00112685615757227,0.00218742665881676,0.000837292500982494,"HMGA/HIS1-3/H1.2",3
"GO:0033647","GO:0033647","host intracellular organelle","3/32","161/25052",0.00112685615757227,0.00218742665881676,0.000837292500982494,"HMGA/HIS1-3/H1.2",3
"GO:0033648","GO:0033648","host intracellular membrane-bounded organelle","3/32","161/25052",0.00112685615757227,0.00218742665881676,0.000837292500982494,"HMGA/HIS1-3/H1.2",3
"GO:0042025","GO:0042025","host cell nucleus","3/32","161/25052",0.00112685615757227,0.00218742665881676,0.000837292500982494,"HMGA/HIS1-3/H1.2",3
"GO:0043656","GO:0043656","host intracellular region","3/32","161/25052",0.00112685615757227,0.00218742665881676,0.000837292500982494,"HMGA/HIS1-3/H1.2",3
"GO:0043657","GO:0043657","host cell","3/32","161/25052",0.00112685615757227,0.00218742665881676,0.000837292500982494,"HMGA/HIS1-3/H1.2",3
