"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009733","GO:0009733","response to auxin","15/66","337/21826",6.52781062452802e-14,2.01709348297916e-11,1.54606041107243e-11,"ARF5/DRN-LIKE/ATPIN1/AGC1-3/FL2/DOF3.4/IAA30/FKD1/anac071/IAA29/AIL6/BG1/LRP1/HAT2/IAA9",15
"GO:0071365","GO:0071365","cellular response to auxin stimulus","9/66","107/21826",3.40677272099373e-11,5.26346385393531e-09,4.03433611696626e-09,"ATPIN1/AGC1-3/FL2/FKD1/anac071/AIL6/BG1/HAT2/IAA9",9
"GO:0009734","GO:0009734","auxin-activated signaling pathway","8/66","86/21826",1.98637528964933e-10,2.04596654833881e-08,1.56819101814421e-08,"ATPIN1/AGC1-3/FL2/FKD1/AIL6/BG1/HAT2/IAA9",8
"GO:0007389","GO:0007389","pattern specification process","10/66","212/21826",7.93871491097272e-10,6.13265726872642e-08,4.700554881497e-08,"CVP2/ARF5/DRN-LIKE/ATPIN1/LAX2/OPS/FL2/FKD1/AIL6/DOF5.3",10
"GO:0010051","GO:0010051","xylem and phloem pattern formation","7/66","71/21826",1.90290779418602e-09,1.17599701680696e-07,9.01377376193379e-08,"CVP2/ARF5/ATPIN1/LAX2/OPS/FL2/FKD1",7
"GO:0003002","GO:0003002","regionalization","9/66","179/21826",3.39760602885832e-09,1.74976710486204e-07,1.34116027454934e-07,"CVP2/ARF5/ATPIN1/LAX2/OPS/FL2/FKD1/AIL6/DOF5.3",9
"GO:0048826","GO:0048826","cotyledon morphogenesis","4/66","22/21826",5.35346704918435e-07,2.36317331171138e-05,1.81132343769395e-05,"CVP2/ATPIN1/LAX2/OPS",4
"GO:0048825","GO:0048825","cotyledon development","5/66","55/21826",6.70675595049253e-07,2.59048448587774e-05,1.98555274850108e-05,"CVP2/DRN-LIKE/ATPIN1/LAX2/OPS",5
"GO:0010305","GO:0010305","leaf vascular tissue pattern formation","4/66","31/21826",2.25613750382299e-06,7.74607209645893e-05,5.93720395742892e-05,"CVP2/ARF5/FL2/FKD1",4
"GO:0010583","GO:0010583","response to cyclopentenone","4/66","35/21826",3.72041148912168e-06,0.00011496071501386,8.8115008952882e-05,"ATPIN1/IAA30/IAA29/IAA9",4
"GO:0048598","GO:0048598","embryonic morphogenesis","4/66","36/21826",4.17596665054406e-06,0.000117306699547101,8.99131575475995e-05,"CVP2/ATPIN1/LAX2/OPS",4
"GO:0010588","GO:0010588","cotyledon vascular tissue pattern formation","3/66","18/21826",2.08619757303677e-05,0.000537195875056969,0.0004117495209941,"CVP2/LAX2/OPS",3
"GO:0009965","GO:0009965","leaf morphogenesis","5/66","115/21826",2.5733349277997e-05,0.000583987995397439,0.000447614712874889,"CVP2/ATPIN1/LAX2/OPS/TCP17",5
"GO:0048366","GO:0048366","leaf development","8/66","399/21826",2.64590030277157e-05,0.000583987995397439,0.000447614712874889,"CVP2/DRN-LIKE/ATPIN1/LAX2/OPS/CIK3/APD7/TCP17",8
"GO:0090698","GO:0090698","post-embryonic plant morphogenesis","6/66","201/21826",3.24834458349221e-05,0.000669158984199395,0.00051289651318298,"CVP2/ATPIN1/LAX2/ROXY1/OPS/AIL6",6
"GO:1905392","GO:1905392","plant organ morphogenesis","8/66","445/21826",5.72048616254821e-05,0.00110476889014212,0.000846782491166677,"CVP2/ATPIN1/LAX2/ROXY1/OPS/DROP2/TCP17/AIL6",8
"GO:0048653","GO:0048653","anther development","4/66","80/21826",0.000101472739516671,0.00184441626533243,0.00141370689729108,"ROXY1/CIK3/LRP1/ROXY2",4
"GO:0009908","GO:0009908","flower development","8/66","488/21826",0.000108643604204156,0.00186504853883801,0.00142952110794942,"ARF5/ATPIN1/ROXY1/CIK3/MEL1/AIL6/LRP1/ROXY2",8
"GO:0010087","GO:0010087","phloem or xylem histogenesis","4/66","103/21826",0.000269273622510671,0.00437923943977881,0.00335659640248759,"AGC1-3/OPS/FL2/FKD1",4
"GO:0010928","GO:0010928","regulation of auxin mediated signaling pathway","3/66","43/21826",0.000298917887180553,0.00461828135693954,0.00353981708503287,"ATPIN1/AGC1-3/BG1",3
"GO:0010016","GO:0010016","shoot system morphogenesis","5/66","199/21826",0.000341085579990419,0.00464961523024247,0.00356383385046689,"CVP2/ATPIN1/LAX2/OPS/TCP17",5
"GO:0048443","GO:0048443","stamen development","4/66","110/21826",0.000346087865034229,0.00464961523024247,0.00356383385046689,"ROXY1/CIK3/LRP1/ROXY2",4
"GO:0048466","GO:0048466","androecium development","4/66","110/21826",0.000346087865034229,0.00464961523024247,0.00356383385046689,"ROXY1/CIK3/LRP1/ROXY2",4
"GO:0010088","GO:0010088","phloem development","2/66","12/21826",0.000582883794699879,0.00750462885676095,0.00575214271085407,"AGC1-3/OPS",2
"GO:0009606","GO:0009606","tropism","4/66","128/21826",0.000614028475808294,0.00758939196099051,0.00581711187607858,"ATPIN1/AGC1-3/IAA30/MEL1",4
"GO:0010315","GO:0010315","auxin efflux","2/66","17/21826",0.00118942833399411,0.0141358982770839,0.0108348734878006,"ATPIN1/AGC1-3",2
"GO:0003008","GO:0003008","system process","2/66","21/21826",0.00182234658997236,0.0181646805258536,0.0139228517060707,"OPS/SMXL5",2
"GO:0003013","GO:0003013","circulatory system process","2/66","21/21826",0.00182234658997236,0.0181646805258536,0.0139228517060707,"OPS/SMXL5",2
"GO:0003018","GO:0003018","vascular process in circulatory system","2/66","21/21826",0.00182234658997236,0.0181646805258536,0.0139228517060707,"OPS/SMXL5",2
"GO:0010232","GO:0010232","vascular transport","2/66","21/21826",0.00182234658997236,0.0181646805258536,0.0139228517060707,"OPS/SMXL5",2
