"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005372","GO:0005372","water transmembrane transporter activity","4/45","36/21809",8.87562232357689e-07,3.72776137590229e-05,1.91526586982449e-05,"PIP2;2/AQP1/AtPIP2;1/ATPIP1",4
"GO:0015250","GO:0015250","water channel activity","4/45","36/21809",8.87562232357689e-07,3.72776137590229e-05,1.91526586982449e-05,"PIP2;2/AQP1/AtPIP2;1/ATPIP1",4
"GO:0015267","GO:0015267","channel activity","4/45","177/21809",0.000481918979325187,0.0083539004034493,0.00429210421731105,"PIP2;2/AQP1/AtPIP2;1/ATPIP1",4
"GO:0022803","GO:0022803","passive transmembrane transporter activity","4/45","177/21809",0.000481918979325187,0.0083539004034493,0.00429210421731105,"PIP2;2/AQP1/AtPIP2;1/ATPIP1",4
"GO:0015175","GO:0015175","neutral amino acid transmembrane transporter activity","2/45","17/21809",0.00055512539530869,0.0083539004034493,0.00429210421731105,"AAP1/AAP6",2
"GO:0043295","GO:0043295","glutathione binding","2/45","19/21809",0.000696158366954108,0.0083539004034493,0.00429210421731105,"ATGSTU20/ATGSTF7",2
"GO:1900750","GO:1900750","oligopeptide binding","2/45","19/21809",0.000696158366954108,0.0083539004034493,0.00429210421731105,"ATGSTU20/ATGSTF7",2
"GO:0072341","GO:0072341","modified amino acid binding","2/45","24/21809",0.00111627630681382,0.0117209012215451,0.00602201691833773,"ATGSTU20/ATGSTF7",2
"GO:0016762","GO:0016762","xyloglucan:xyloglucosyl transferase activity","2/45","32/21809",0.00198513165968622,0.0185278954904048,0.00951934480083452,"ATXTH28/EXGT-A1",2
"GO:1901681","GO:1901681","sulfur compound binding","2/45","41/21809",0.00324341792207847,0.0272447105454592,0.013997908926865,"ATGSTU20/ATGSTF7",2
