"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0033612","GO:0033612","receptor serine/threonine kinase binding","3/44","45/21809",0.000102469809358547,0.00307409428075642,0.00194153322995142,"CLE45/CLE42/CLE25",3
"GO:0005089","GO:0005089","Rho guanyl-nucleotide exchange factor activity","2/44","16/21809",0.000468862369359039,0.00703293554038559,0.00444185402550669,"ATROPGEF2/ATROPGEF3",2
"GO:0005088","GO:0005088","Ras guanyl-nucleotide exchange factor activity","2/44","24/21809",0.0010673803973506,0.00800535298012951,0.00505601240850285,"ATROPGEF2/ATROPGEF3",2
"GO:0017048","GO:0017048","Rho GTPase binding","2/44","24/21809",0.0010673803973506,0.00800535298012951,0.00505601240850285,"ATROPGEF2/ATROPGEF3",2
"GO:0005102","GO:0005102","signaling receptor binding","3/44","109/21809",0.00138561998818345,0.00831371992910069,0.00525077048153728,"CLE45/CLE42/CLE25",3
"GO:0005085","GO:0005085","guanyl-nucleotide exchange factor activity","2/44","50/21809",0.00458249890079819,0.022912494503991,0.0144710491604153,"ATROPGEF2/ATROPGEF3",2
"GO:0017016","GO:0017016","Ras GTPase binding","2/44","106/21809",0.0193860042063733,0.0726975157738997,0.0459142204887788,"ATROPGEF2/ATROPGEF3",2
"GO:0031267","GO:0031267","small GTPase binding","2/44","106/21809",0.0193860042063733,0.0726975157738997,0.0459142204887788,"ATROPGEF2/ATROPGEF3",2
"GO:0051020","GO:0051020","GTPase binding","2/44","138/21809",0.0316238799623155,0.105412933207718,0.0665765893943484,"ATROPGEF2/ATROPGEF3",2
"GO:0009055","GO:0009055","electron transfer activity","2/44","159/21809",0.0409238305187059,0.115438942912336,0.0729088060498964,"AtENODL16/AtENODL3",2
"GO:0008017","GO:0008017","microtubule binding","2/44","162/21809",0.0423276124011898,0.115438942912336,0.0729088060498964,"AtKIN14h/MAP65-4",2
"GO:0015631","GO:0015631","tubulin binding","2/44","174/21809",0.0481203043491882,0.117881885278026,0.0744517170177005,"AtKIN14h/MAP65-4",2
"GO:0008353","GO:0008353","RNA polymerase II CTD heptapeptide repeat kinase activity","1/44","28/21809",0.0550115464630787,0.117881885278026,0.0744517170177005,"NA",1
"GO:0008810","GO:0008810","cellulase activity","1/44","28/21809",0.0550115464630787,0.117881885278026,0.0744517170177005,"AtGH9C2",1
"GO:0004693","GO:0004693","cyclin-dependent protein serine/threonine kinase activity","1/44","33/21809",0.0645188299808914,0.120972806214171,0.0764038776089504,"NA",1
"GO:0097472","GO:0097472","cyclin-dependent protein kinase activity","1/44","33/21809",0.0645188299808914,0.120972806214171,0.0764038776089504,"NA",1
"GO:0019899","GO:0019899","enzyme binding","3/44","497/21809",0.0784713194343838,0.138478799001854,0.087460294106434,"ATROPGEF2/ATROPGEF3/NA",3
"GO:0042973","GO:0042973","glucan endo-1,3-beta-D-glucosidase activity","1/44","51/21809",0.0979773106753871,0.163295517792312,0.10313401123725,"NA",1
"GO:0101005","GO:0101005","ubiquitinyl hydrolase activity","1/44","62/21809",0.117845389252778,0.182788122842716,0.115445130216452,"NA",1
"GO:0003777","GO:0003777","microtubule motor activity","1/44","65/21809",0.123189312671294,0.182788122842716,0.115445130216452,"AtKIN14h",1
"GO:0008092","GO:0008092","cytoskeletal protein binding","2/44","308/21809",0.127951685989901,0.182788122842716,0.115445130216452,"AtKIN14h/MAP65-4",2
"GO:0003774","GO:0003774","motor activity","1/44","84/21809",0.156306894184204,0.213145764796642,0.1346183777663,"AtKIN14h",1
"GO:0004553","GO:0004553","hydrolase activity, hydrolyzing O-glycosyl compounds","2/44","393/21809",0.187878480014415,0.245058886975324,0.154774033879152,"AtGH9C2/NA",2
"GO:0008422","GO:0008422","beta-glucosidase activity","1/44","111/21809",0.201274765659356,0.251593457074194,0.158901130783702,"NA",1
"GO:0015926","GO:0015926","glucosidase activity","1/44","126/21809",0.225235796373937,0.270282955648724,0.170705024620247,"NA",1
"GO:0019900","GO:0019900","kinase binding","1/44","137/21809",0.242359304207339,0.279645351008468,0.176618116426401,"NA",1
"GO:0005516","GO:0005516","calmodulin binding","1/44","167/21809",0.287201773772445,0.319113081969384,0.201545104401716,"ATWRKY39",1
"GO:0030246","GO:0030246","carbohydrate binding","1/44","176/21809",0.300141187710354,0.321579843975379,0.203103059352871,"AtGH9C2",1
"GO:0005509","GO:0005509","calcium ion binding","1/44","262/21809",0.412757831229833,0.426990859892931,0.269678437827114,"NA",1
"GO:0042802","GO:0042802","identical protein binding","1/44","386/21809",0.544572060623722,0.544572060623722,0.343940248814982,"BAM3",1
